Conj1	Sentence1	Conj2	Sentence2	Question	StimIndex	Answer
因为	他努力学习	所以	成绩很优秀	是否符合逻辑	32	1
因为	他努力学习	所以	成绩很糟糕	是否符合逻辑	33	0
虽然	他努力学习	但是	成绩很优秀	是否符合逻辑	34	0
虽然	他努力学习	但是	成绩很糟糕	是否符合逻辑	35	1
因为	他努力学习	所以	成绩很优秀	句子是否通顺	36	1
因为	他努力学习	但是	成绩很糟糕	句子是否通顺	37	0
虽然	他努力学习	所以	成绩很优秀	句子是否通顺	38	0
虽然	他努力学习	但是	成绩很糟糕	句子是否通顺	39	1
因为	经济不景气	所以	生意很冷清	是否符合逻辑	40	1
因为	经济不景气	所以	生意很火热	是否符合逻辑	41	0
虽然	经济不景气	但是	生意很冷清	是否符合逻辑	42	0
虽然	经济不景气	但是	生意很火热	是否符合逻辑	43	1
因为	经济不景气	所以	生意很冷清	句子是否通顺	44	1
因为	经济不景气	但是	生意很火热	句子是否通顺	45	0
虽然	经济不景气	所以	生意很冷清	句子是否通顺	46	0
虽然	经济不景气	但是	生意很火热	句子是否通顺	47	1
因为	工作没完成	所以	情绪很焦急	是否符合逻辑	48	1
因为	工作没完成	所以	情绪很轻松	是否符合逻辑	49	0
虽然	工作没完成	但是	情绪很焦急	是否符合逻辑	50	0
虽然	工作没完成	但是	情绪很轻松	是否符合逻辑	51	1
因为	工作没完成	所以	情绪很焦急	句子是否通顺	52	1
因为	工作没完成	但是	情绪很轻松	句子是否通顺	53	0
虽然	工作没完成	所以	情绪很焦急	句子是否通顺	54	0
虽然	工作没完成	但是	情绪很轻松	句子是否通顺	55	1
因为	加班了很久	所以	精神很萎靡	是否符合逻辑	56	1
因为	加班了很久	所以	精神很饱满	是否符合逻辑	57	0
虽然	加班了很久	但是	精神很萎靡	是否符合逻辑	58	0
虽然	加班了很久	但是	精神很饱满	是否符合逻辑	59	1
因为	加班了很久	所以	精神很萎靡	句子是否通顺	60	1
因为	加班了很久	但是	精神很饱满	句子是否通顺	61	0
虽然	加班了很久	所以	精神很萎靡	句子是否通顺	62	0
虽然	加班了很久	但是	精神很饱满	句子是否通顺	63	1
因为	他经验不足	所以	工作很低效	是否符合逻辑	80	1
因为	他经验不足	所以	工作很高效	是否符合逻辑	81	0
虽然	他经验不足	但是	工作很低效	是否符合逻辑	82	0
虽然	他经验不足	但是	工作很高效	是否符合逻辑	83	1
因为	他经验不足	所以	工作很低效	句子是否通顺	84	1
因为	他经验不足	但是	工作很高效	句子是否通顺	85	0
虽然	他经验不足	所以	工作很低效	句子是否通顺	86	0
虽然	他经验不足	但是	工作很高效	句子是否通顺	87	1
因为	他遭遇挫折	所以	意志很消沉	是否符合逻辑	96	1
因为	他遭遇挫折	所以	意志很高昂	是否符合逻辑	97	0
虽然	他遭遇挫折	但是	意志很消沉	是否符合逻辑	98	0
虽然	他遭遇挫折	但是	意志很高昂	是否符合逻辑	99	1
因为	他遭遇挫折	所以	意志很消沉	句子是否通顺	100	1
因为	他遭遇挫折	但是	意志很高昂	句子是否通顺	101	0
虽然	他遭遇挫折	所以	意志很消沉	句子是否通顺	102	0
虽然	他遭遇挫折	但是	意志很高昂	句子是否通顺	103	1
因为	他年龄很大	所以	动作很迟缓	是否符合逻辑	104	1
因为	他年龄很大	所以	动作很迅速	是否符合逻辑	105	0
虽然	他年龄很大	但是	动作很迟缓	是否符合逻辑	106	0
虽然	他年龄很大	但是	动作很迅速	是否符合逻辑	107	1
因为	他年龄很大	所以	动作很迟缓	句子是否通顺	108	1
因为	他年龄很大	但是	动作很迅速	句子是否通顺	109	0
虽然	他年龄很大	所以	动作很迟缓	句子是否通顺	110	0
虽然	他年龄很大	但是	动作很迅速	句子是否通顺	111	1